,0,1,2,3,4
50,1.0,0.8732638888888888,0.8732638888888888,0.8732638888888888,0.8732638888888888
100,0.9607371794871794,0.9487847222222223,0.9487847222222223,0.9487847222222223,0.9487847222222223
321,0.972535771065183,0.9779554263565892,0.9779554263565892,0.9779554263565892,0.9779554263565892
643,0.966326817889318,0.9699512175373965,0.9780176742317732,0.9780176742317732,0.9780176742317732
965,0.9634105270621184,0.9592099194664208,0.9625975473801561,0.9625975473801561,0.9625975473801561
1287,0.9591103935868175,0.9767438623837889,0.9925113460624868,0.9899587469966908,0.9899587469966908
1609,0.9748798835234168,0.990650007769404,0.9579667145779919,0.9744467320229997,0.9744467320229997
1931,0.9699048215094863,0.9605871770369273,0.9509257639178634,0.9540428783316105,0.9540428783316105
2253,0.9521471404499952,0.941413916146298,0.9588276836158193,0.9647413024085638,0.9805049676389561
2575,0.9692497158014401,0.9726743084501706,0.9543703423013767,0.9756836554250348,0.9580749066886204
