param_Boost__n_estimators,test acc,train acc
1,0.8135585775528849,0.8080645232951197
2,0.8825879366083351,0.8898221154292781
5,0.9233475648323847,0.9344461368137171
10,0.9362613324899852,0.9599383072833675
20,0.9365830785719306,0.9647849863015027
30,0.9365830785719306,0.9647849863015027
40,0.9365830785719306,0.9647849863015027
50,0.9365830785719306,0.9647849863015027
