mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__alpha,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.07120003700256347,0.001999950408935547,0.8997232877994183,0.9800423601795465,-1,1,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 1}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.03807562207884635,1.1680077279964342e-07,0.005161165614884105,0.0012562813686469684
0.08680000305175781,0.0020000457763671873,0.8997232877994183,0.9800423601795465,-1,2,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 2}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.0011662857652630528,0.000632409699322999,0.005161165614884105,0.0012562813686469684
0.1514000415802002,0.0026000022888183595,0.8997232877994183,0.9800423601795465,-1,5,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 5}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.0218869507534627,0.0011999368797875561,0.005161165614884105,0.0012562813686469684
0.1558000087738037,0.0020000457763671873,0.8997232877994183,0.9800423601795465,-1,10,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 10}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.0322700398695899,0.0006324850894031313,0.005161165614884105,0.0012562813686469684
0.16520004272460936,0.001999950408935547,0.8997232877994183,0.9800423601795465,-1,20,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 20}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.007652504106646411,1.1680077279964343e-07,0.005161165614884105,0.0012562813686469684
0.1625999927520752,0.0020000457763671873,0.8997232877994183,0.9800423601795465,-1,30,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 30}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.032757392296351585,0.0006324097172997689,0.005161165614884105,0.0012562813686469684
0.17239999771118164,0.001600027084350586,0.8997232877994183,0.9800423601795465,-1,45,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 45}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.03516025918137439,0.0008000135475042733,0.005161165614884105,0.0012562813686469684
0.15619997978210448,0.0019999980926513673,0.8997232877994183,0.9800423601795465,-1,60,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 60}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.025553108319094783,1.9073486328124998e-07,0.005161165614884105,0.0012562813686469684
0.19080009460449218,0.0023999691009521486,0.8997232877994183,0.9800423601795465,-1,80,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 80}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.05484302061853586,0.0004899403160383116,0.005161165614884105,0.0012562813686469684
0.20680007934570313,0.0023999691009521486,0.8997232877994183,0.9800423601795465,-1,100,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 100}",103,0.9027830920111968,0.9780456612353164,0.9045427013930952,0.9813028783494222,0.8940137290530992,0.9791601316574258,0.9043609933373714,0.9805142592060793,0.8929005776831863,0.9811888704494898,0.05400512403842566,0.0004899403160383116,0.005161165614884105,0.0012562813686469684
0.09539999961853027,0.0018000125885009766,0.907096054515642,0.9676598070081613,-0.001,1,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 1}",82,0.8966761987232414,0.9618368700265252,0.9258328285887342,0.9730521990766307,0.9016151827175449,0.9704897391150678,0.9094891984655764,0.9661048399567035,0.9018749366575454,0.9668153868658795,0.002244916680073297,0.00040004254453151935,0.010225395108698014,0.003850297935217671
0.22239990234375,0.0015999794006347657,0.907096054515642,0.9676598070081613,-0.001,2,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 2}",82,0.8966761987232414,0.9618368700265252,0.9258328285887342,0.9730521990766307,0.9016151827175449,0.9704897391150678,0.9094891984655764,0.9661048399567035,0.9018749366575454,0.9668153868658795,0.011603422889950614,0.0007999897074229016,0.010225395108698014,0.003850297935217671
