mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.018000173568725585,0.11000018119812012,0.9026019945296552,0.9993449994373094,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",22,0.9036591014358498,0.9990147783251231,0.9036745406824147,0.9996796925048046,0.8821118514031899,0.9990147783251233,0.9141126589945489,1.0,0.9094608290260464,0.9990157480314962,0.003999972344510646,0.006324473894465776,0.01096887860085062,0.00041654378897093515
0.02160015106201172,0.11680040359497071,0.9026019945296552,0.9993449994373094,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",22,0.9036591014358498,0.9990147783251231,0.9036745406824147,0.9996796925048046,0.8821118514031899,0.9990147783251233,0.9141126589945489,1.0,0.9094608290260464,0.9990157480314962,0.004270816516321419,0.010997875322838739,0.01096887860085062,0.00041654378897093515
0.016199922561645506,0.12980036735534667,0.8802136201133561,0.9192368675989699,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",48,0.893413818796947,0.9157809144878111,0.8869674944478094,0.9189622037155668,0.845628911770644,0.9207117453444962,0.8951645467393499,0.9207360445337869,0.879872301611432,0.9199934299131892,0.005075564847379832,0.006079236956219323,0.018110103293526407,0.0018446807060739409
0.018000125885009766,0.1360002040863037,0.9138498887386801,0.9993105387688608,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",6,0.9107426948869242,0.9990147783251231,0.9180496668685647,0.9995073891625614,0.8905814657783161,0.9990147783251233,0.9328386836260851,1.0,0.9170467213945476,0.9990157480314962,0.004000067714784384,0.017435628374532542,0.01370770214061281,0.00039394337809887866
0.01599993705749512,0.13440027236938476,0.8989256316749267,0.9234585195828527,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",25,0.9084721187345188,0.9213417329796639,0.8988693720977186,0.9187390929775341,0.856248738138502,0.9278026905829598,0.9254694124772868,0.9243544147208907,0.9055640012161751,0.9250546666532155,0.004899033214501993,0.005425962865310856,0.02307019357445457,0.0031297254912592003
0.018000030517578126,0.13660006523132323,0.9171658419633202,0.9993105387688608,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",1,0.9170358660410414,0.9990147783251231,0.9146174035937816,0.9995073891625614,0.8889359983848174,0.9990147783251233,0.9438724005653139,1.0,0.921374277896017,0.9990157480314962,0.003999900817871094,0.004270785248454571,0.01751775802136528,0.00039394337809887866
0.015999984741210938,0.1418006420135498,0.8729245711115907,0.8949191661375261,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",65,0.8801226413194514,0.889102564102564,0.8757520694528569,0.8939870551591597,0.8285079749646679,0.8994057743709822,0.9050070664243893,0.8915968985398397,0.8752254991385425,0.9005035385150847,0.00489897481585607,0.007277829394453809,0.024768100383278074,0.0044057694082080285
0.02000002861022949,0.14040026664733887,0.9157676117372635,0.9993105387688608,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",2,0.9201824516181,0.9990147783251231,0.9125580456289117,0.9995073891625614,0.8889359983848174,0.9990147783251233,0.9430950938824956,1.0,0.9140569575352183,0.9990157480314962,0.006324624683615062,0.010983654682067688,0.017317453278709132,0.00039394337809887866
0.019999980926513672,0.1486001968383789,0.8805698506601309,0.8976908054111975,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",47,0.8940028596169725,0.8906277630415561,0.879002624671916,0.8964987077249329,0.8540985261457703,0.9075084494908215,0.8958509993943066,0.8904879719013012,0.879872301611432,0.9033311348973755,0.0,0.021813789311513378,0.014952675141728067,0.006802763070503885
0.02199997901916504,0.1520002841949463,0.9090340213595681,0.9993105387688608,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",14,0.9149666713655678,0.9990147783251231,0.9124671916010498,0.9995073891625614,0.8855037351100344,0.9990147783251233,0.9273470623864324,1.0,0.9048697679132461,0.9990157480314962,0.003999876977079031,0.021354296914902166,0.013808646342557653,0.00039394337809887866
0.02000002861022949,0.14880037307739258,0.8596372426322952,0.8752192605789212,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",81,0.874906861066919,0.866739295187571,0.8500706642438927,0.874775232499061,0.8271350696547547,0.8815480792595376,0.876075105996366,0.8743555192294947,0.8699908786865308,0.8786781767189416,9.5367431640625e-08,0.0156254786284442,0.0187545655477722,0.0049974207317119755
