,test,train
0.1,0.0004935391480103135,0.139037027482118
0.2,0.0007121957241906784,0.11430205934448168
0.3,0.001065169919456821,0.10623541638051393
0.4,0.0019759415299631655,0.10455533060303424
0.5,0.002467249483743217,0.06647963348223129
0.6,0.003788113739574328,0.05152575440297369
0.7,0.003052267406019382,0.037687916366849095
0.8,0.0037430437150760554,0.02793851020396687
0.9,0.00434635738201905,0.013539751096686814
