mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.044202423095703124,0.0012000560760498046,0.8931693107787222,0.9780671114257226,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",20,0.8863453289566424,0.9791556145004421,0.9149808197052294,0.9749718350305948,0.8900767211790834,0.9798493450263978,0.9019785988289926,0.9788884225408115,0.8724434985304549,0.9774703400303661,0.004445462062272898,0.0004001379119606201,0.014411390636170297,0.0017304692750447143
0.039002084732055665,0.0010001182556152344,0.8976492712929081,0.9807022205800955,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",8,0.8891042551906075,0.977553050397878,0.9117302644861699,0.9813028783494222,0.8907631738340401,0.9783715125140825,0.9064203513022411,0.9837902317259053,0.8902300597952771,0.9824934299131892,0.004147631542968698,1.784161275279017e-07,0.009494361055409961,0.0023855609987173273
0.1148064136505127,0.0014002799987792968,0.8975884037830534,0.962568835203958,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",11,0.8868336790382019,0.9623057976506254,0.9164445790430041,0.9589321610815348,0.8862305673329296,0.9617177317811306,0.914021804966687,0.964971614128874,0.8844076213641431,0.9649168713776248,0.013060641876988173,0.0004898429878647236,0.014449355896401957,0.002249692641157133
0.09580564498901367,0.001200103759765625,0.9034299089404942,0.9650044302881511,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",5,0.8907706869122178,0.9595459138562586,0.9284877851806985,0.9713026574477014,0.9008378760347266,0.9550707990015243,0.8991419341813044,0.9708343457995537,0.8979223674875848,0.9682684353357176,0.003763234488274531,0.00039999486081696955,0.01299071347250323,0.006523522688698513
0.10380582809448242,0.001400136947631836,0.8975884037830534,0.962568835203958,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",11,0.8868336790382019,0.9623057976506254,0.9164445790430041,0.9589321610815348,0.8862305673329296,0.9617177317811306,0.914021804966687,0.964971614128874,0.8844076213641431,0.9649168713776248,0.012513137094818324,0.0004899597886342959,0.014449355896401957,0.002249692641157133
0.07860445976257324,0.0012000083923339843,0.9034299089404942,0.9650044302881511,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",5,0.8907706869122178,0.9595459138562586,0.9284877851806985,0.9713026574477014,0.9008378760347266,0.9550707990015243,0.8991419341813044,0.9708343457995537,0.8979223674875848,0.9682684353357176,0.002416852356188954,0.0004000425445315194,0.01299071347250323,0.006523522688698513
0.09800567626953124,0.0012000560760498046,0.8947903987517192,0.9645102328763959,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",18,0.8926385001107598,0.9718911835291146,0.9143852210781345,0.9680730742892487,0.8900767211790834,0.9798493450263978,0.9020290732889159,0.9411319004175043,0.8747947704469444,0.9616056611197141,0.010602561958684184,0.000400018706226792,0.013133288928150025,0.013095370164065786
0.0786043643951416,0.0014000415802001953,0.8967784702555689,0.976512560488348,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",13,0.8810288579656443,0.9643536061639509,0.9117302644861699,0.9813028783494222,0.8907631738340401,0.9783715125140825,0.9064203513022411,0.9837902317259053,0.8939697983176245,0.9747445736883787,0.0021541842921862044,0.0004899403160383116,0.011036463736403764,0.006787242357153856
0.09420533180236816,0.0010000705718994141,0.8990485158736646,0.9687541511895532,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",7,0.8913597277322431,0.9637125805229255,0.9182313749242883,0.9672115575780333,0.8905814657783163,0.9749232366520136,0.912144155057541,0.9730764982659216,0.8829127394344785,0.9648468829288716,0.006046900046564439,1.1680077279964343e-07,0.013640652734968584,0.004467752786123325
0.07900462150573731,0.0010000705718994141,0.9040148242735317,0.973911902090167,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",4,0.8953974263447249,0.9668640267778199,0.9259236826165962,0.9724601824648214,0.8977690288713911,0.9765004749387,0.9044518473652333,0.9804899600167885,0.896533900881727,0.973244866252705,0.0014142796514450343,1.1680077279964343e-07,0.011396939887908875,0.004520985038144084
0.10060591697692871,0.0009999752044677734,0.8931693107787222,0.9780671114257226,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",20,0.8863453289566424,0.9791556145004421,0.9149808197052294,0.9749718350305948,0.8900767211790834,0.9798493450263978,0.9019785988289926,0.9788884225408115,0.8724434985304549,0.9774703400303661,0.017142783218002375,9.536743164062499e-08,0.014411390636170297,0.0017304692750447143
