param_MLP__max_iter,test acc,train acc
1,0.7702689050530607,0.7600493008576152
2,0.8358952227844543,0.8301119750676442
4,0.8495447238034998,0.8448404346198166
8,0.8537724453580716,0.8522307163811247
16,0.8635598952842788,0.8610853620559499
32,0.8594694374165437,0.8620563538772422
64,0.8594694374165437,0.8620563538772422
128,0.8594694374165437,0.8620563538772422
256,0.8594694374165437,0.8620563538772422
512,0.8594694374165437,0.8620563538772422
1024,0.8594694374165437,0.8620563538772422
2048,0.8594694374165437,0.8620563538772422
2100,0.8594694374165437,0.8620563538772422
2200,0.8594694374165437,0.8620563538772422
2300,0.8594694374165437,0.8620563538772422
2400,0.8594694374165437,0.8620563538772422
2500,0.8594694374165437,0.8620563538772422
2600,0.8594694374165437,0.8620563538772422
2700,0.8594694374165437,0.8620563538772422
2800,0.8594694374165437,0.8620563538772422
2900,0.8594694374165437,0.8620563538772422
3000,0.8594694374165437,0.8620563538772422
