param_SVM__n_iter,test acc,train acc
100,0.8458671551057702,0.8648336166739167
200,0.8438905580153208,0.8639530999640928
300,0.849038495326446,0.8591920491764542
400,0.7936202034577272,0.840187630840542
500,0.7726232518096844,0.8176371132138496
600,0.8215099884039636,0.8659807118371737
700,0.847843752196219,0.8688504692790546
800,0.7915458746222502,0.8526521930722724
900,0.7999562952421112,0.8583828220075862
1000,0.8391137817134021,0.8767710805999954
1100,0.8260166297701879,0.8612442993611408
1200,0.44958469498910675,0.5141440064883579
1300,0.8059805239300022,0.8556863405604367
1400,0.7701371319136974,0.8438714623322624
1500,0.8089640874270857,0.8631075211879381
1600,0.79118789092698,0.8334654108398069
1700,0.7671974927964016,0.83078548956931
1800,0.8257388080680301,0.877951094163184
1900,0.7896615187293556,0.8459348199525086
2000,0.7667758187504392,0.8372631440343579
2100,0.8194894669337268,0.8807057381819916
2200,0.8250975121231288,0.8702716151705758
2300,0.4741713665753039,0.5227320737097502
2400,0.7962337040550986,0.8582032854582665
2500,0.8057993358633776,0.8536381294432266
