param_SVM__n_iter,test acc,train acc
30,0.9181568012509664,0.914449521552262
60,0.875330530957903,0.8776570500509124
90,0.9206835511982572,0.9183355083711693
120,0.9188442177946449,0.9136368611760393
150,0.9192582050741445,0.9205303376377676
180,0.9221539198116524,0.9163078964980881
210,0.9210514178789796,0.916166731089793
240,0.918200725630754,0.9134799434045865
270,0.9193504462716987,0.9198382434257107
300,0.9216938119333755,0.9196237689427216
330,0.9204068276055943,0.9165326706031418
360,0.9218321737297069,0.9194634179639142
390,0.919855576639258,0.9190728401389602
420,0.9224756658935976,0.9181402194586922
450,0.921878294328484,0.9175283007360392
