mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.4626265048980713,0.05060291290283203,0.727221264071417,0.7221216846405876,1,{'SVM__n_iter': 1},25,0.8782850353424491,0.8857348111658457,0.5908439329699172,0.5848836952439859,0.5364930345245307,0.53991694095297,0.9033515041389059,0.8817027104641146,0.7268977399412181,0.7183702653760209,0.012956001529929222,0.0038783939700470444,0.147549109206142,0.1444176349873173
0.4960282802581787,0.05380325317382813,0.7651478285757901,0.7719197557595863,4,{'SVM__n_iter': 4},24,0.9052399460297642,0.9023004294556018,0.7627700383605895,0.7737149042391039,0.7507369271148799,0.7848328878481963,0.7042196648495861,0.6955885926351365,0.702457687240296,0.7031619646198934,0.037300868910955985,0.004833558689629759,0.07416980055855693,0.07446230176158843
0.5364306926727295,0.05380315780639648,0.8020395532888254,0.808254583285896,7,{'SVM__n_iter': 7},21,0.550259782105242,0.5604585070102311,0.9064203513022411,0.908754335196271,0.8293761356753483,0.877136671894674,0.8236119523521098,0.7891338443526476,0.9010742880308096,0.9057895579756567,0.027761930527385674,0.007082765388527495,0.1306844648664869,0.13124519924770986
0.5416309356689453,0.04980278015136719,0.8314054363708907,0.832615942774671,10,{'SVM__n_iter': 10},14,0.8884296272428862,0.9007262852090436,0.6363113264688068,0.6256113455123815,0.8788612961841308,0.9134131524884579,0.8933777508580659,0.8778501844529369,0.860003040437823,0.8454787462105353,0.016717360491680953,0.005741368255496417,0.09821170889231699,0.10604687592213292
0.5710327625274658,0.053803014755249026,0.8522881653377223,0.8545630490372785,13,{'SVM__n_iter': 13},9,0.8769760557423928,0.8599848427434634,0.9060973147587321,0.9137025337427378,0.8847668079951545,0.9186595683580375,0.9298606904906117,0.9133844352647507,0.6634083307996352,0.6670838650774035,0.031958111773472235,0.003970091380346604,0.09612327169927716,0.09617030537877919
0.6070346355438232,0.053403186798095706,0.8441149058438907,0.8516082951486222,16,{'SVM__n_iter': 16},11,0.904363936605111,0.9106384994316029,0.9090753078942057,0.9213921226446353,0.8503432263274784,0.894132850294904,0.8400464365031294,0.8121385495593011,0.7164538360190534,0.7197394538126681,0.020001180172107374,0.004630512004098127,0.06954541369400476,0.0763019495429123
0.641636848449707,0.05440301895141601,0.8061680900694558,0.8159014286414052,19,{'SVM__n_iter': 19},19,0.6924250357452122,0.6961301629405079,0.7297193620028266,0.7293578386975633,0.8101958409045025,0.8607104199341713,0.8888451443569555,0.8799443327663522,0.9099929056450796,0.9133643888684317,0.029160511822727088,0.0039296815158572284,0.08534231260372915,0.08653706365900116
0.6780387878417968,0.053403186798095706,0.8279899611669052,0.8377519573339722,22,{'SVM__n_iter': 22},15,0.892366635116902,0.9024235821649617,0.8691601049868766,0.8849698469151074,0.8650716737330912,0.8976584417592613,0.8764688067837675,0.8594910424352206,0.6364852538765582,0.6442168733953099,0.03344445280221821,0.0023325551737130292,0.09611256913959629,0.09790725363031927
0.7140407562255859,0.05020289421081543,0.7956748983493472,0.7985507821435073,25,{'SVM__n_iter': 25},22,0.9112461485792538,0.9199870531767085,0.9142943670502726,0.920331794384678,0.6882798304058148,0.7047029976363516,0.6659802140117103,0.649782411804988,0.7983987027465288,0.7979496537148103,0.028672131623587952,0.002713115014410561,0.10565022652849232,0.11001561606463096
0.7236413955688477,0.051402950286865236,0.904434018695912,0.9107960255949321,28,{'SVM__n_iter': 28},1,0.8994502285679763,0.9081928129341923,0.9028063799717344,0.9158541165035675,0.8962547950736927,0.9217323112947049,0.9121845346254795,0.9053237314718683,0.9114928549711157,0.9028771557703271,0.014320132085882637,0.00392971063756088,0.006391336868747106,0.006994538540496711
0.7598434925079346,0.054403066635131836,0.8704205914854202,0.8711434158507183,31,{'SVM__n_iter': 31},7,0.890755583301448,0.882324428445118,0.8826973551383,0.8811747553513442,0.8835251362810419,0.9158430714175262,0.7761457702402584,0.7596014932956328,0.9190230059795277,0.9167733307439708,0.01636428118552243,0.007526399282048288,0.04895481717408094,0.0578746777840782
0.7926453113555908,0.05120296478271484,0.8260357289360862,0.8317793205790933,34,{'SVM__n_iter': 34},16,0.8539430493183237,0.8357284956422887,0.7934887946698971,0.8107358236320659,0.781263880476479,0.8376571163489365,0.816424389259035,0.7957851951666705,0.8851069220634438,0.8789899721055049,0.022115492218557346,0.005269027592103885,0.038523277630232354,0.028345708360543034
0.8316476345062256,0.04840269088745117,0.8521663980810574,0.8550609765906749,37,{'SVM__n_iter': 37},10,0.9057433997220936,0.9158140709864846,0.8059559862709471,0.800108241843204,0.8886533414092469,0.9209436921513618,0.7998182919442764,0.7890697828536085,0.8605908584169452,0.8493690951187157,0.040239539762709955,0.0013563676809896172,0.042785130903831604,0.05556709261798085
0.928453016281128,0.05800337791442871,0.8029707443294827,0.8175911265089972,40,{'SVM__n_iter': 40},20,0.7539722496324788,0.7753031451307314,0.7494044013729054,0.7600720139609886,0.7338380779325662,0.7858357816607391,0.8762568140520898,0.8662263359031566,0.9016114320462145,0.9005183558893703,0.0569403819711828,0.0056571860318953785,0.07090695846120983,0.05540294679763809
