param_SVM__n_iter,test acc,train acc
1,0.8674219463771171,0.8644066872416764
6,0.8385142139292994,0.8511809627440455
11,0.903404798299248,0.9117942385933705
16,0.9033147533206831,0.892620583330203
21,0.8949043327008224,0.9018308688963126
26,0.8952249806732729,0.8849562508406308
31,0.8951788600744957,0.8845622398083219
36,0.8903998875535877,0.8908246119768851
41,0.9169620581207394,0.9101921424789129
46,0.8567614994026286,0.8735004457110959
51,0.9227974119755429,0.9253317791001685
56,0.9052441317028603,0.8977338408017711
61,0.8720625571016938,0.8780888263641243
66,0.9036332050741445,0.8987987409418862
71,0.8801973522383864,0.882947824538062
76,0.9112178473539955,0.913302426389005
81,0.901611585494413,0.9030492536005256
86,0.8910884022067608,0.8935929888251121
91,0.9062994149272613,0.9165449897589445
96,0.8707766708834072,0.8707684204701555
101,0.8815315552744396,0.8757425320671666
106,0.8580506799493991,0.8537148717252755
111,0.8972927208517816,0.9064350019124984
116,0.8622762052849814,0.8680610335408201
121,0.896924854171059,0.895085424257589
126,0.8901264582894091,0.8954430836826117
131,0.9134711680371074,0.9027531899545159
136,0.9083221326164874,0.8955143732235676
141,0.8949976720078714,0.8990049353365492
146,0.830474954318645,0.8452310124447707
151,0.9028524492234169,0.9066371572396851
156,0.9154466670180619,0.9111110303297615
161,0.9017499472907443,0.8874388636649124
166,0.911861339517886,0.9066617955512903
171,0.9162263247592944,0.9169705055175682
176,0.8597044328484081,0.8537477901252069
181,0.8931133161149766,0.9017280746290419
186,0.875648982711364,0.8771267204912798
191,0.876610926628716,0.8935998552398217
196,0.896878733572282,0.8924876980102342
