mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
6.030144929885864,0.044002532958984375,0.7762790134114639,0.782809218545467,0.1,0.2,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 389}",170,0.7958696659081298,0.7869205507136541,0.7799515445184738,0.777127835825841,0.7436906925095903,0.7840751949457686,0.8050878255602667,0.7921336897214429,0.7567345697780481,0.7737888215206283,0.08620098105238837,0.002097738454363339,0.02311369962425626,0.006619625113969517
5.590319871902466,0.046202564239501955,0.8830887295992089,0.8877094552831608,0.1,0.4,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.4, 'SVM__n_iter': 389}",66,0.8859425660027791,0.8846501199949475,0.8813345447203715,0.8869358722304445,0.86686856450636,0.8964677814840177,0.8811528366646478,0.876491638869867,0.9001672240802676,0.8940018638365272,0.11575297211305553,0.002925848636720123,0.01067049851456556,0.007100704915297024
5.657923650741577,0.05040283203125,0.8856869645465587,0.8901933172818552,0.1,0.6000000000000001,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.6000000000000001, 'SVM__n_iter': 389}",61,0.8866322975612703,0.8880983958570166,0.8826165960024227,0.8900395414080274,0.8674641631334545,0.8972321014380701,0.8916818090046438,0.879571008858159,0.900060808756461,0.8960255388480027,0.2449078352881274,0.004029993826427921,0.010813116433446871,0.006337271807933842
5.421110057830811,0.05000290870666504,0.8914752426697458,0.8938782785781388,0.1,0.8,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.8, 'SVM__n_iter': 389}",50,0.8880117606782528,0.8932202854616648,0.885958005249344,0.8946453422872165,0.8688370684433677,0.8989065364819192,0.9099939430648093,0.8858512447811969,0.9046011959055438,0.8967679838786968,0.24291508029695486,0.008462062465725863,0.014628100054656196,0.004451705010967408
5.320104312896729,0.05140290260314941,0.8933076787490151,0.8963063347945894,0.1,1.0,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.0, 'SVM__n_iter': 389}",45,0.8919487685522686,0.8972085385878491,0.8879265091863517,0.8977247122755084,0.8675550171613164,0.8992511431664052,0.9145265495659197,0.8884623031213412,0.9046011959055438,0.8988849768218435,0.12405447716362253,0.009351453322118461,0.015947363598000492,0.003991889034161865
6.127750492095947,0.060803461074829104,0.8946477731233571,0.8989615061892822,0.1,1.2,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 389}",41,0.88880218297521,0.8983895414929898,0.8918635170603676,0.9023062139654068,0.8689279224712296,0.9041529523514988,0.9151221481930144,0.8909253573085335,0.9085537650755042,0.8990334658279822,0.4882692884976506,0.010998698215876485,0.01622197988185847,0.004539828058414268
6.1653525829315186,0.06380367279052734,0.8941539210055995,0.898315593014059,0.1,1.4000000000000001,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.4000000000000001, 'SVM__n_iter': 389}",42,0.8901816460921925,0.8991016167740307,0.8918635170603676,0.9002606640305726,0.866363819907127,0.902896021560008,0.9158086008479709,0.8914422673352626,0.9065774804905241,0.8978773953704218,0.6022705778002907,0.012416727181627438,0.016830742480663012,0.003816178280341679
5.4127096176147464,0.04980292320251465,0.8934218025058146,0.8972211296068394,0.1,1.6,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.6, 'SVM__n_iter': 389}",44,0.8890035644521416,0.8956233421750662,0.8938320209973754,0.9015904923899357,0.8657682212800324,0.9060239899268816,0.9171815061578842,0.8895447215533809,0.9013428600385122,0.893323101988933,0.1741105990963919,0.0017206008860682364,0.01680243563284655,0.00588653489813448
5.592519903182984,0.051202917098999025,0.8930471425070396,0.8968028407029166,0.1,1.8,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.8, 'SVM__n_iter': 389}",46,0.8896932960106331,0.8962880510294304,0.8945184736523318,0.9001369590669109,0.8632041187159297,0.9058759857739292,0.9164950535029275,0.8913428615608915,0.9013428600385122,0.8903703460834211,0.08462025390636048,0.0044455242774936255,0.017450233435011283,0.005742676630524841
5.515715408325195,0.0582033634185791,0.8956867046799286,0.8983187237038923,0.1,2.0,389,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 2.0, 'SVM__n_iter': 389}",39,0.8955988078216565,0.8958428066186687,0.8925499697153241,0.9031169232808323,0.8717645871189178,0.9088802491771413,0.9152130022208763,0.891391459939473,0.9033191446234925,0.8923621795033467,0.06857982823659951,0.012040649847548702,0.014293736608086425,0.006695761450201551
5.838134002685547,0.04900274276733398,0.8548653113782487,0.866433249422791,0.03162277660168379,0.2,389,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 389}",147,0.8611877479509435,0.8624368447644309,0.8614072279426612,0.8542976429786386,0.8194225721784778,0.8580905255251938,0.9126892792247124,0.9208973027899886,0.8195550825985608,0.8364439310557031,0.2199666258586618,0.003949964684119679,0.03443111145122562,0.02863053461358958
