,0,1,2,3,4
50,1.0,1.0,1.0,1.0,1.0
100,1.0,1.0,1.0,1.0,1.0
321,0.9762122416534182,0.9779554263565889,0.9779554263565889,0.9779554263565889,0.9779554263565889
643,0.9560458896396394,0.9558933667995869,0.9501255272142998,0.9501255272142998,0.9501255272142998
965,0.9433942197761293,0.9471431865753716,0.9461204013377927,0.9461204013377927,0.9461204013377927
1287,0.9368980682514058,0.9389300228246952,0.9379946529469438,0.9397411487374769,0.9397411487374769
1609,0.9417875920084123,0.9421915870302747,0.9391607101235335,0.9392824272277434,0.9392824272277434
1931,0.9398331964988311,0.9431054478077316,0.9378933991933492,0.9367892939008496,0.9367892939008496
2253,0.9346677074041035,0.9395529784914265,0.9425104073743682,0.9327411041728616,0.9376569151614091
2575,0.9339112037387899,0.9328312492105595,0.9372173803208287,0.9319170771756978,0.9409221538135186
