mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__alpha,param_SVM__n_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.20341167449951172,0.001600170135498047,0.9135226918595282,0.9153767347948893,0.1,389,"{'SVM__alpha': 0.1, 'SVM__n_iter': 389}",7,0.926490726382987,0.9148477958822787,0.9153038562487382,0.9144977799377056,0.8801433474661822,0.9199164991495284,0.9264284272158289,0.9122313282820473,0.9192358366271409,0.9153902707228861,0.015448831210530672,0.0004899013824479931,0.017233290901535095,0.0025121928175308493
0.19981141090393068,0.001600170135498047,0.919980308068018,0.9233696442376672,0.03162277660168379,389,"{'SVM__alpha': 0.03162277660168379, 'SVM__n_iter': 389}",6,0.9279708802384357,0.9207828091448782,0.9231778719967697,0.9238816850383265,0.8939228750252373,0.9268373500629572,0.9330203916818092,0.9202854050233051,0.9217999391912436,0.9250609719188689,0.006112725929450214,0.0008002042823662843,0.013612584743112407,0.0025040769207906773
0.22181262969970703,0.002400112152099609,0.9211835238644717,0.9268222337376851,0.01,389,"{'SVM__alpha': 0.01, 'SVM__n_iter': 389}",5,0.9299393841754435,0.9256378678792472,0.9251463759337775,0.9267644524950847,0.9004239854633556,0.9304093308886877,0.9343024429638603,0.9209503192029866,0.9160839160839159,0.9303491982224196,0.02764498424209775,0.0013564590788073,0.012012646852141503,0.003498347778844813
0.19821133613586425,0.0018000602722167969,0.9236839345653003,0.9313138662588016,0.0031622776601683794,389,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 389}",4,0.9273818394184101,0.9285935329038778,0.9309610337169393,0.9300647242042014,0.910266505148395,0.933661004219223,0.9349888956188169,0.9291281009079061,0.9148018648018647,0.9351219690588003,0.015433311501149231,0.0004000664041494148,0.009521030659722943,0.0025980316835737924
0.1808103561401367,0.0012001514434814454,0.9274657883305774,0.93354017117863,0.001,389,"{'SVM__alpha': 0.001, 'SVM__n_iter': 389}",2,0.933876392049459,0.9283203865100417,0.9388350494649708,0.9346462258940996,0.9115485564304463,0.9354591442267335,0.9369573995558249,0.9310985442576598,0.9160839160839159,0.9381765550046155,0.006585203937131724,0.0003999710651483163,0.01134208590242036,0.0034528122909436077
0.17380986213684083,0.0014000415802001953,0.9295540449798378,0.9348065327186067,0.00031622776601683794,389,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 389}",1,0.9410606762389995,0.9339112037387899,0.9395215021199274,0.9329960900395414,0.9135170603674543,0.9385628134043164,0.9395215021199274,0.9294484084031015,0.9141076314989358,0.9391141480072839,0.008886460081880512,0.0004898429878647236,0.012858574116489073,0.003618121250642927
0.19141092300415039,0.0018001079559326171,0.9255515138013619,0.9336835000356374,0.0001,389,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 389}",3,0.9353565459049077,0.9323086396362258,0.9284877851806985,0.9327243809229272,0.911639410458308,0.935951755064172,0.9382394508378761,0.9285603834853873,0.9140012161751292,0.9388723410694738,0.0273188612319341,0.0011662285230114768,0.010887076846423748,0.0034964417892074306
0.18081045150756836,0.001399993896484375,0.9112804533346537,0.9260682152385733,3.1622776601683795e-05,389,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 389}",8,0.923847594498258,0.9249068460275357,0.9162628709872804,0.9292009984757782,0.8958913789622451,0.9325763767699752,0.9279830405814659,0.9205792043120016,0.8923685010641531,0.9230776506075756,0.014414696025906483,0.0004898819214545809,0.014532097949736662,0.004303300908341767
0.16900959014892578,0.0014000415802001953,0.8964929573048269,0.9091639431821508,1e-05,389,"{'SVM__alpha': 1e-05, 'SVM__n_iter': 389}",9,0.8860734639627847,0.8907303902993559,0.9074702200686453,0.9144668536967901,0.8848576620230164,0.9229428527248227,0.9202907328891582,0.9127173120678609,0.8837691294213033,0.9049623071219237,0.015166585351231679,0.0004899403160383115,0.014782376966300536,0.010844862894612709
0.15500898361206056,0.0016001224517822265,0.8891856811458672,0.9015602215064019,3.162277660168379e-06,389,"{'SVM__alpha': 3.162277660168379e-06, 'SVM__n_iter': 389}",10,0.9046660088205086,0.8869379184034357,0.8863214213607915,0.9055512602443173,0.8881082172420756,0.922746250193289,0.897536846355744,0.8972740727650268,0.8692409040235127,0.8952916059259408,0.005621675866629126,0.0004899597886342959,0.011969093300745097,0.012134698695006411
0.15920910835266114,0.0018001079559326171,0.8865814730724141,0.9021517923565568,1e-06,389,"{'SVM__alpha': 1e-06, 'SVM__n_iter': 389}",13,0.8983728376663914,0.8883620689655173,0.9085705632949729,0.9151339768936799,0.8823844134867757,0.9238794760211181,0.8890672319806178,0.898036183701871,0.8544441066180197,0.8853472562005982,0.0051539635928250244,0.0004000902282460696,0.018318150283526083,0.015034071264963391
0.15820908546447754,0.001399993896484375,0.8791137439321899,0.8941341101884455,3.162277660168379e-07,389,"{'SVM__alpha': 3.162277660168379e-07, 'SVM__n_iter': 389}",17,0.8866625047828101,0.8713875205254515,0.8923177871996769,0.8970509620269941,0.8789521502119927,0.9184629658265039,0.8955683424187363,0.8955709204974707,0.8419985811290159,0.8881981820658069,0.008085086675001994,0.0004899792418945042,0.019378313842755884,0.01519939636395739
