,0,1,2,3,4
50,0.7572156196943972,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.7499999999999999
100,0.9070512820512819,0.6536458333333333,0.6536458333333333,0.6536458333333333,0.6536458333333333
321,0.8754372019077902,0.8552567829457365,0.8552567829457365,0.8552567829457365,0.8552567829457365
643,0.8594303008365508,0.9026627937574639,0.9098815023097007,0.9098815023097007,0.9098815023097007
965,0.884964948197779,0.9078431546457587,0.9132887402452621,0.9132887402452621,0.9132887402452621
1287,0.9382480654679063,0.8979012414407391,0.9321737943860998,0.960764313885489,0.960764313885489
1609,0.9248726037369572,0.9538254603371922,0.9541030546707068,0.9578639254206631,0.9578639254206631
1931,0.9183916786677253,0.9085749247410239,0.9166072221698811,0.9271736931996944,0.9271736931996944
2253,0.9428746654772525,0.936128456735058,0.9513826940231936,0.952942561205273,0.9385206191267718
2575,0.9434018567639256,0.9332117595048629,0.9542929771378047,0.9416035114310976,0.9471651144232373
