param_MLP__max_iter,test acc,train acc
1,0.8901220658514303,0.887077771032535
2,0.915535613887132,0.916551856173654
4,0.9319413697378592,0.9342474146938852
8,0.9386508187504392,0.9543036062006148
16,0.9370420883407128,0.9775571235215499
32,0.9327682461873639,0.9913509428597164
64,0.9320347090449083,0.9831500202559234
128,0.9320347090449083,0.9831500202559234
256,0.9320347090449083,0.9831500202559234
512,0.9320347090449083,0.9831500202559234
1024,0.9320347090449083,0.9831500202559234
2048,0.9320347090449083,0.9831500202559234
