mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.12600722312927246,0.0016000747680664062,0.883039949554822,0.889551505071483,relu,10.0,"(57,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57,)}",148,0.8851521437058218,0.880293987621574,0.8948415101958409,0.904672071395436,0.8532707450030286,0.901248094722658,0.9060569351907936,0.8827740838101129,0.8758639910813824,0.878769287807634,0.03561107077512159,0.000490018183218949,0.017950747686307545,0.01107549559016952
0.15360870361328124,0.0018001079559326171,0.8760241241262045,0.8805527482535618,relu,10.0,"(28,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28,)}",150,0.911820085788509,0.884288556271315,0.8732788209166161,0.8914709845589696,0.8209065213002221,0.8853144535995936,0.8887542903290936,0.8671607501822438,0.885319752711057,0.8745289966556872,0.029372531263749276,0.0007484046832832702,0.030256103664928462,0.00861938720587192
0.1788102149963379,0.0022001266479492188,0.8861003896450363,0.892174947789613,relu,10.0,"(114,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (114,)}",147,0.8916466963368709,0.8930308197549577,0.9001514233797698,0.9054363913494884,0.8484655764183324,0.8877752987695775,0.8974964667878055,0.8889328237866975,0.8927434883956621,0.8856994052873437,0.04159754480181492,0.0003999471771024199,0.01907119717848707,0.007048394602479346
0.31381783485412595,0.0022001266479492188,0.905861834000001,0.9098018918312375,relu,10.0,"(57, 57)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57, 57)}",97,0.9249098817890729,0.906408677529367,0.9040884312537856,0.908908966400848,0.873369674944478,0.9156332147827432,0.9164950535029275,0.9082683514104575,0.9104236343366778,0.9097902490327723,0.023431230055881894,0.0003999471771024199,0.017641541572568416,0.003119853466569663
0.17420992851257325,0.0018002510070800782,0.8954055483286004,0.9036381569246666,relu,10.0,"(28, 28)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28, 28)}",123,0.9126105080854662,0.9027346217001391,0.8923682616596003,0.907234531356999,0.8380274581061983,0.8926528087653803,0.9203412073490813,0.9013960988756101,0.9136819702037093,0.9141727239252044,0.028980212152105757,0.00040016177157428304,0.030176933717384065,0.007077175783098656
0.4026231288909912,0.003800201416015625,0.9049215151213643,0.9074076358638015,relu,10.0,"(114, 114)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (114, 114)}",99,0.9130988581670256,0.899167929771378,0.9120533010296791,0.9161501248094722,0.8799616394104584,0.918736883960326,0.9256511205330104,0.9158541165035675,0.8938127090301002,0.8871291242742639,0.10107331739685366,0.0004000902282460696,0.016085776503014303,0.012290132622329602
0.33021888732910154,0.00240020751953125,0.9090291125508544,0.9163504112440324,relu,10.0,"(57, 57, 57)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (57, 57, 57)}",82,0.9186167106349558,0.9181539724643173,0.9178679588128408,0.9248691157304114,0.8690187764990915,0.9057787890167665,0.9244599232788211,0.9167156332147828,0.9151768521333737,0.9162345457938835,0.07883200463790418,0.0004899403160383116,0.020232957774848456,0.006127432865532678
0.30861773490905764,0.002000093460083008,0.9077496762912081,0.9142923809863659,relu,10.0,"(28, 28, 28)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28, 28, 28)}",86,0.9210735646535231,0.9125631552355689,0.8930547143145569,0.9111997172457973,0.8832121946295175,0.9171353464843491,0.9302745810619829,0.9138836731538138,0.9111178676396067,0.9166800128122998,0.05692986663021355,0.0,0.017404194944063502,0.0023023931619413954
0.4554259777069092,0.004600381851196289,0.9104880374189509,0.9127345910156277,relu,10.0,"(114, 114, 114)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (114, 114, 114)}",80,0.9295366212215801,0.916949286345838,0.9113668483747224,0.9159778214672291,0.8766202301635373,0.9113477213987498,0.931556632344034,0.9207316264993705,0.9033191446234925,0.8986664993669513,0.10591286911356072,0.0004899597886342959,0.020032032170935583,0.0076428971861030506
0.17841014862060547,0.0018001556396484374,0.9060350357773923,0.9097818484007908,relu,3.1622776601683795,"(57,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (57,)}",96,0.9250105725275388,0.9190918277125174,0.903401978598829,0.908292650599748,0.8689279224712296,0.9097461839227726,0.9295881284070261,0.9082926505997483,0.9032127292996859,0.9034859291691678,0.05807425386706764,0.00039999486081696955,0.021481164666046836,0.005113726740688255
0.18021020889282227,0.0020000457763671873,0.8931925525946226,0.8968565844458688,relu,3.1622776601683795,"(28,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (28,)}",126,0.9074954185713998,0.8791840343564481,0.8778114274177268,0.8886125162915017,0.8714011710074704,0.9149440014137712,0.9171815061578842,0.9054849897280699,0.8920492550927334,0.8960573804395526,0.054648938888034466,0.000632409699322999,0.01728067098937322,0.012510207382176555
