param_MLP__max_iter,test acc,train acc
1,0.8901220658514303,0.887077771032535
2,0.915535613887132,0.916551856173654
4,0.9319413697378592,0.9350354367585029
8,0.9395699363974981,0.9543036062006148
16,0.9379612059877717,0.9770253802883005
32,0.9321708746222505,0.9905629207950987
64,0.9353433129524212,0.9831500202559234
128,0.9353433129524212,0.9831500202559234
256,0.9353433129524212,0.9831500202559234
512,0.9353433129524212,0.9831500202559234
1024,0.9353433129524212,0.9831500202559234
2048,0.9353433129524212,0.9831500202559234
2100,0.9353433129524212,0.9831500202559234
2200,0.9353433129524212,0.9831500202559234
2300,0.9353433129524212,0.9831500202559234
2400,0.9353433129524212,0.9831500202559234
2500,0.9353433129524212,0.9831500202559234
2600,0.9353433129524212,0.9831500202559234
2700,0.9353433129524212,0.9831500202559234
2800,0.9353433129524212,0.9831500202559234
2900,0.9353433129524212,0.9831500202559234
3000,0.9353433129524212,0.9831500202559234
